review_id,drug_raw,review_text,rating,created_at,drug
23,Advil,I took Advil and experienced hives and chest pain and stomach cramps. It helped but had side effects.,3,2024-12-22 16:00:00,Ibuprofen
24,Glucophage,I took Glucophage and experienced irritable and brain fog. It helped but had side effects.,4,2024-07-24 08:00:00,Metformin
25,Tylenol,I took Tylenol and experienced fatigue. It helped but had side effects.,5,2025-06-12 22:00:00,Acetaminophen
26,Ibuprofen,I took Ibuprofen and experienced headache and stomach cramps and depression. It helped but had side effects.,2,2024-12-02 11:00:00,Ibuprofen
27,Ibuprofen,I took Ibuprofen and experienced irritable and hives. It helped but had side effects.,5,2024-07-04 06:00:00,Ibuprofen
28,Metformin,I took Metformin and experienced fatigue. It helped but had side effects.,4,2024-12-31 14:00:00,Metformin
29,Metformin,I took Metformin and experienced rash. It helped but had side effects.,3,2024-03-07 19:00:00,Metformin
30,Ibuprofen,I took Ibuprofen and experienced vomiting and tremor and palpitations. It helped but had side effects.,5,2025-03-02 04:00:00,Ibuprofen
31,Ibuprofen,I took Ibuprofen and experienced tremor. It helped but had side effects.,1,2025-01-14 05:00:00,Ibuprofen
32,Glucophage,I took Glucophage and experienced stomach cramps. It helped but had side effects.,4,2024-03-01 21:00:00,Metformin
33,Metformin,I took Metformin and experienced anxiety and tremor. It helped but had side effects.,1,2024-02-28 15:00:00,Metformin
34,Advil,I took Advil and experienced insomnia and itching. It helped but had side effects.,1,2025-06-23 11:00:00,Ibuprofen
35,Metformin,I took Metformin and experienced brain fog and bloating. It helped but had side effects.,5,2025-07-29 09:00:00,Metformin
36,Metformin,I took Metformin and experienced depression and dizzy and irritable. It helped but had side effects.,2,2025-05-21 03:00:00,Metformin
37,Metformin,I took Metformin and experienced palpitations and headache. It helped but had side effects.,4,2024-01-11 23:00:00,Metformin
38,Advil,I took Advil and experienced dizzy. It helped but had side effects.,2,2025-09-08 01:00:00,Ibuprofen
39,Glucophage,I took Glucophage and experienced fatigue and stomach cramps and tremor. It helped but had side effects.,2,2025-03-17 06:00:00,Metformin
40,Metformin,I took Metformin and experienced panic. It helped but had side effects.,5,2025-05-25 14:00:00,Metformin
41,Metformin,I took Metformin and experienced bloating and brain fog and headache. It helped but had side effects.,5,2024-03-13 11:00:00,Metformin
42,Acetaminophen,I took Acetaminophen and experienced itching and chest pain. It helped but had side effects.,4,2024-07-06 12:00:00,Acetaminophen
43,Advil,I took Advil and experienced stomach cramps and redness. It helped but had side effects.,5,2024-01-12 22:00:00,Ibuprofen
44,Glucophage,I took Glucophage and experienced anxiety and bloating. It helped but had side effects.,3,2024-08-06 20:00:00,Metformin
45,Advil,I took Advil and experienced diarrhea. It helped but had side effects.,1,2024-04-04 06:00:00,Ibuprofen
46,Advil,I took Advil and experienced anxiety. It helped but had side effects.,4,2025-09-10 15:00:00,Ibuprofen
47,Metformin,I took Metformin and experienced itching. It helped but had side effects.,3,2024-03-15 19:00:00,Metformin
48,Tylenol,I took Tylenol and experienced hives. It helped but had side effects.,5,2024-11-11 14:00:00,Acetaminophen
49,Metformin,I took Metformin and experienced constipation. It helped but had side effects.,1,2025-06-21 19:00:00,Metformin
50,Advil,I took Advil and experienced depression and hives and panic. It helped but had side effects.,3,2024-10-29 21:00:00,Ibuprofen
51,Ibuprofen,I took Ibuprofen and experienced redness and vomiting. It helped but had side effects.,2,2024-09-06 02:00:00,Ibuprofen
52,Tylenol,I took Tylenol and experienced hives and anxiety. It helped but had side effects.,5,2024-09-03 07:00:00,Acetaminophen
53,Metformin,I took Metformin and experienced itching. It helped but had side effects.,1,2024-10-16 23:00:00,Metformin
54,Glucophage,I took Glucophage and experienced headache. It helped but had side effects.,1,2024-11-04 11:00:00,Metformin
55,Ibuprofen,I took Ibuprofen and experienced tremor. It helped but had side effects.,3,2025-07-28 20:00:00,Ibuprofen
56,Ibuprofen,I took Ibuprofen and experienced bloating. It helped but had side effects.,1,2025-05-29 12:00:00,Ibuprofen
57,Metformin,I took Metformin and experienced depression. It helped but had side effects.,4,2025-07-17 14:00:00,Metformin
58,Ibuprofen,I took Ibuprofen and experienced brain fog and panic and blood pressure. It helped but had side effects.,3,2024-11-24 04:00:00,Ibuprofen
59,Glucophage,I took Glucophage and experienced headache. It helped but had side effects.,2,2025-02-06 04:00:00,Metformin
60,Glucophage,I took Glucophage and experienced redness. It helped but had side effects.,1,2025-04-09 10:00:00,Metformin
61,Tylenol,I took Tylenol and experienced vomiting and stomach cramps and palpitations. It helped but had side effects.,3,2025-03-24 09:00:00,Acetaminophen
62,Glucophage,I took Glucophage and experienced hives. It helped but had side effects.,1,2024-03-26 19:00:00,Metformin
63,Ibuprofen,I took Ibuprofen and experienced chest pain. It helped but had side effects.,4,2024-09-28 13:00:00,Ibuprofen
64,Metformin,I took Metformin and experienced diarrhea. It helped but had side effects.,4,2024-01-30 13:00:00,Metformin
65,Metformin,I took Metformin and experienced vomiting. It helped but had side effects.,2,2024-08-05 05:00:00,Metformin
66,Ibuprofen,I took Ibuprofen and experienced blood pressure. It helped but had side effects.,4,2025-02-03 01:00:00,Ibuprofen
67,Advil,I took Advil and experienced irritable and anxiety. It helped but had side effects.,2,2024-08-10 06:00:00,Ibuprofen
68,Ibuprofen,I took Ibuprofen and experienced dizzy and constipation and bloating. It helped but had side effects.,4,2025-08-18 04:00:00,Ibuprofen
69,Tylenol,I took Tylenol and experienced anxiety. It helped but had side effects.,3,2024-07-13 04:00:00,Acetaminophen
70,Glucophage,I took Glucophage and experienced hives and itching. It helped but had side effects.,5,2024-03-01 03:00:00,Metformin
71,Advil,I took Advil and experienced bloating. It helped but had side effects.,3,2024-07-01 15:00:00,Ibuprofen
72,Tylenol,I took Tylenol and experienced itching and tremor and palpitations. It helped but had side effects.,4,2025-02-21 02:00:00,Acetaminophen
73,Metformin,I took Metformin and experienced headache and panic. It helped but had side effects.,3,2024-10-04 08:00:00,Metformin
74,Tylenol,I took Tylenol and experienced chest pain. It helped but had side effects.,4,2025-04-05 10:00:00,Acetaminophen
75,Advil,I took Advil and experienced itching and redness and stomach cramps. It helped but had side effects.,4,2025-07-11 21:00:00,Ibuprofen
76,Glucophage,I took Glucophage and experienced irritable and itching and anxiety. It helped but had side effects.,5,2025-02-09 04:00:00,Metformin
77,Ibuprofen,I took Ibuprofen and experienced redness and stomach cramps. It helped but had side effects.,3,2024-11-22 15:00:00,Ibuprofen
78,Acetaminophen,I took Acetaminophen and experienced diarrhea. It helped but had side effects.,4,2025-08-08 02:00:00,Acetaminophen
79,Metformin,I took Metformin and experienced bloating and constipation and hives. It helped but had side effects.,5,2024-04-28 21:00:00,Metformin
80,Glucophage,I took Glucophage and experienced stomach cramps and rash and depression. It helped but had side effects.,1,2025-04-18 11:00:00,Metformin
81,Metformin,I took Metformin and experienced dizzy. It helped but had side effects.,2,2024-10-13 14:00:00,Metformin
82,Acetaminophen,I took Acetaminophen and experienced hives. It helped but had side effects.,5,2025-01-18 19:00:00,Acetaminophen
83,Ibuprofen,I took Ibuprofen and experienced headache. It helped but had side effects.,2,2024-02-23 11:00:00,Ibuprofen
84,Ibuprofen,I took Ibuprofen and experienced insomnia and vomiting. It helped but had side effects.,4,2025-04-30 07:00:00,Ibuprofen
85,Glucophage,I took Glucophage and experienced redness and irritable and nausea. It helped but had side effects.,3,2024-11-13 15:00:00,Metformin
86,Ibuprofen,I took Ibuprofen and experienced vomiting. It helped but had side effects.,5,2024-04-22 16:00:00,Ibuprofen
87,Glucophage,I took Glucophage and experienced diarrhea. It helped but had side effects.,1,2024-08-26 04:00:00,Metformin
88,Metformin,I took Metformin and experienced chest pain and nausea. It helped but had side effects.,1,2024-05-10 02:00:00,Metformin
89,Advil,I took Advil and experienced fatigue and headache. It helped but had side effects.,2,2025-08-21 19:00:00,Ibuprofen
90,Glucophage,I took Glucophage and experienced itching. It helped but had side effects.,5,2024-08-12 08:00:00,Metformin
91,Advil,I took Advil and experienced rash. It helped but had side effects.,5,2025-01-01 13:00:00,Ibuprofen
92,Advil,I took Advil and experienced tremor. It helped but had side effects.,3,2024-07-19 07:00:00,Ibuprofen
93,Advil,I took Advil and experienced rash. It helped but had side effects.,5,2024-08-25 08:00:00,Ibuprofen
94,Glucophage,I took Glucophage and experienced panic. It helped but had side effects.,1,2024-08-30 22:00:00,Metformin
95,Advil,I took Advil and experienced stomach cramps and brain fog. It helped but had side effects.,2,2025-03-06 23:00:00,Ibuprofen
96,Ibuprofen,I took Ibuprofen and experienced tremor. It helped but had side effects.,3,2024-12-02 00:00:00,Ibuprofen
97,Ibuprofen,I took Ibuprofen and experienced fatigue and bloating and itching. It helped but had side effects.,3,2025-05-17 22:00:00,Ibuprofen
98,Tylenol,I took Tylenol and experienced constipation and hives and irritable. It helped but had side effects.,5,2024-10-04 13:00:00,Acetaminophen
99,Advil,I took Advil and experienced headache. It helped but had side effects.,1,2024-08-08 17:00:00,Ibuprofen
100,Glucophage,I took Glucophage and experienced vomiting and itching and fatigue. It helped but had side effects.,5,2024-05-23 03:00:00,Metformin
101,Tylenol,I took Tylenol and experienced constipation and blood pressure and vomiting. It helped but had side effects.,5,2024-06-15 05:00:00,Acetaminophen
102,Glucophage,I took Glucophage and experienced insomnia and headache. It helped but had side effects.,5,2024-04-05 09:00:00,Metformin
103,Glucophage,I took Glucophage and experienced blood pressure. It helped but had side effects.,5,2024-06-29 04:00:00,Metformin
104,Metformin,I took Metformin and experienced hives and insomnia and headache. It helped but had side effects.,5,2024-12-15 02:00:00,Metformin
105,Tylenol,I took Tylenol and experienced dizzy. It helped but had side effects.,1,2025-04-01 02:00:00,Acetaminophen
106,Acetaminophen,I took Acetaminophen and experienced headache. It helped but had side effects.,4,2025-01-11 06:00:00,Acetaminophen
107,Ibuprofen,I took Ibuprofen and experienced rash and redness and dizzy. It helped but had side effects.,3,2024-06-03 08:00:00,Ibuprofen
108,Metformin,I took Metformin and experienced brain fog. It helped but had side effects.,1,2025-02-23 07:00:00,Metformin
109,Advil,I took Advil and experienced itching. It helped but had side effects.,3,2024-03-15 20:00:00,Ibuprofen
110,Glucophage,I took Glucophage and experienced nausea and stomach cramps and constipation. It helped but had side effects.,2,2024-12-26 21:00:00,Metformin
111,Glucophage,I took Glucophage and experienced insomnia. It helped but had side effects.,3,2024-07-11 03:00:00,Metformin
112,Glucophage,I took Glucophage and experienced brain fog. It helped but had side effects.,2,2025-05-17 07:00:00,Metformin
113,Ibuprofen,I took Ibuprofen and experienced fatigue and vomiting. It helped but had side effects.,4,2025-06-05 05:00:00,Ibuprofen
114,Tylenol,I took Tylenol and experienced brain fog. It helped but had side effects.,4,2024-11-30 02:00:00,Acetaminophen
115,Tylenol,I took Tylenol and experienced fatigue. It helped but had side effects.,1,2024-07-01 00:00:00,Acetaminophen
116,Ibuprofen,I took Ibuprofen and experienced dizzy. It helped but had side effects.,3,2025-08-28 16:00:00,Ibuprofen
117,Ibuprofen,I took Ibuprofen and experienced rash and brain fog and constipation. It helped but had side effects.,2,2024-04-14 06:00:00,Ibuprofen
118,Advil,I took Advil and experienced constipation and rash. It helped but had side effects.,4,2024-05-04 11:00:00,Ibuprofen
119,Ibuprofen,I took Ibuprofen and experienced brain fog. It helped but had side effects.,3,2024-02-24 21:00:00,Ibuprofen
120,Tylenol,I took Tylenol and experienced nausea and itching. It helped but had side effects.,4,2025-01-06 03:00:00,Acetaminophen
121,Acetaminophen,I took Acetaminophen and experienced nausea. It helped but had side effects.,5,2024-08-18 23:00:00,Acetaminophen
122,Ibuprofen,I took Ibuprofen and experienced headache. It helped but had side effects.,5,2025-01-29 10:00:00,Ibuprofen
123,Tylenol,I took Tylenol and experienced rash. It helped but had side effects.,5,2024-06-25 09:00:00,Acetaminophen
124,Metformin,I took Metformin and experienced irritable. It helped but had side effects.,3,2024-12-30 16:00:00,Metformin
125,Tylenol,I took Tylenol and experienced anxiety. It helped but had side effects.,5,2024-09-13 20:00:00,Acetaminophen
126,Glucophage,I took Glucophage and experienced redness and brain fog and chest pain. It helped but had side effects.,1,2024-12-29 15:00:00,Metformin
127,Metformin,I took Metformin and experienced constipation. It helped but had side effects.,2,2025-01-14 00:00:00,Metformin
128,Ibuprofen,I took Ibuprofen and experienced blood pressure and brain fog and anxiety. It helped but had side effects.,1,2024-04-13 08:00:00,Ibuprofen
129,Ibuprofen,I took Ibuprofen and experienced nausea and bloating and palpitations. It helped but had side effects.,5,2024-02-04 07:00:00,Ibuprofen
130,Ibuprofen,I took Ibuprofen and experienced irritable. It helped but had side effects.,2,2025-03-31 12:00:00,Ibuprofen
131,Advil,I took Advil and experienced tremor. It helped but had side effects.,4,2024-05-20 20:00:00,Ibuprofen
132,Glucophage,I took Glucophage and experienced stomach cramps and insomnia and itching. It helped but had side effects.,1,2024-10-07 20:00:00,Metformin
133,Glucophage,I took Glucophage and experienced brain fog. It helped but had side effects.,5,2025-06-22 08:00:00,Metformin
134,Ibuprofen,I took Ibuprofen and experienced redness and panic and irritable. It helped but had side effects.,3,2024-07-03 16:00:00,Ibuprofen
135,Tylenol,I took Tylenol and experienced brain fog and constipation. It helped but had side effects.,4,2024-02-17 19:00:00,Acetaminophen
136,Advil,I took Advil and experienced rash. It helped but had side effects.,5,2025-08-13 13:00:00,Ibuprofen
137,Metformin,I took Metformin and experienced nausea. It helped but had side effects.,3,2025-04-29 18:00:00,Metformin
138,Ibuprofen,I took Ibuprofen and experienced redness. It helped but had side effects.,5,2024-11-21 03:00:00,Ibuprofen
139,Glucophage,I took Glucophage and experienced chest pain and vomiting and bloating. It helped but had side effects.,3,2024-05-19 09:00:00,Metformin
140,Ibuprofen,I took Ibuprofen and experienced panic. It helped but had side effects.,1,2025-08-13 06:00:00,Ibuprofen
141,Acetaminophen,I took Acetaminophen and experienced dizzy and redness. It helped but had side effects.,4,2024-08-05 16:00:00,Acetaminophen
142,Tylenol,I took Tylenol and experienced hives. It helped but had side effects.,5,2025-08-10 06:00:00,Acetaminophen
143,Advil,I took Advil and experienced brain fog. It helped but had side effects.,2,2025-07-25 16:00:00,Ibuprofen
144,Ibuprofen,I took Ibuprofen and experienced nausea. It helped but had side effects.,1,2024-01-11 10:00:00,Ibuprofen
145,Tylenol,I took Tylenol and experienced dizzy and nausea. It helped but had side effects.,1,2025-08-17 21:00:00,Acetaminophen
146,Advil,I took Advil and experienced dizzy. It helped but had side effects.,1,2024-02-22 07:00:00,Ibuprofen
147,Ibuprofen,I took Ibuprofen and experienced depression and hives and stomach cramps. It helped but had side effects.,1,2025-06-24 02:00:00,Ibuprofen
148,Metformin,I took Metformin and experienced hives and stomach cramps and tremor. It helped but had side effects.,4,2025-03-22 03:00:00,Metformin
149,Advil,I took Advil and experienced anxiety. It helped but had side effects.,4,2024-11-11 04:00:00,Ibuprofen
150,Tylenol,I took Tylenol and experienced constipation. It helped but had side effects.,2,2024-07-16 11:00:00,Acetaminophen
151,Ibuprofen,I took Ibuprofen and experienced palpitations. It helped but had side effects.,2,2024-04-02 10:00:00,Ibuprofen
152,Glucophage,I took Glucophage and experienced irritable and fatigue. It helped but had side effects.,5,2024-10-21 20:00:00,Metformin
153,Advil,I took Advil and experienced depression and panic and blood pressure. It helped but had side effects.,3,2024-02-22 01:00:00,Ibuprofen
154,Acetaminophen,I took Acetaminophen and experienced tremor. It helped but had side effects.,2,2025-05-08 05:00:00,Acetaminophen
155,Acetaminophen,I took Acetaminophen and experienced irritable. It helped but had side effects.,4,2024-07-04 07:00:00,Acetaminophen
156,Acetaminophen,I took Acetaminophen and experienced diarrhea. It helped but had side effects.,5,2024-06-28 01:00:00,Acetaminophen
157,Ibuprofen,I took Ibuprofen and experienced stomach cramps. It helped but had side effects.,4,2025-06-08 13:00:00,Ibuprofen
158,Ibuprofen,I took Ibuprofen and experienced headache. It helped but had side effects.,4,2025-06-19 10:00:00,Ibuprofen
159,Metformin,I took Metformin and experienced nausea. It helped but had side effects.,5,2025-05-17 05:00:00,Metformin
160,Advil,I took Advil and experienced redness and stomach cramps and irritable. It helped but had side effects.,3,2025-08-28 00:00:00,Ibuprofen
161,Advil,I took Advil and experienced redness. It helped but had side effects.,2,2024-06-22 14:00:00,Ibuprofen
162,Glucophage,I took Glucophage and experienced tremor. It helped but had side effects.,1,2024-01-22 22:00:00,Metformin
163,Glucophage,I took Glucophage and experienced blood pressure. It helped but had side effects.,1,2025-02-28 05:00:00,Metformin
164,Advil,I took Advil and experienced fatigue and anxiety. It helped but had side effects.,5,2025-01-27 01:00:00,Ibuprofen
165,Glucophage,I took Glucophage and experienced fatigue and anxiety and vomiting. It helped but had side effects.,1,2024-03-20 13:00:00,Metformin
166,Ibuprofen,I took Ibuprofen and experienced palpitations and stomach cramps and tremor. It helped but had side effects.,1,2025-05-02 21:00:00,Ibuprofen
167,Advil,I took Advil and experienced vomiting. It helped but had side effects.,2,2025-08-01 01:00:00,Ibuprofen
168,Glucophage,I took Glucophage and experienced stomach cramps and insomnia. It helped but had side effects.,2,2025-05-17 18:00:00,Metformin
169,Advil,I took Advil and experienced dizzy and panic and itching. It helped but had side effects.,2,2025-08-02 12:00:00,Ibuprofen
170,Glucophage,I took Glucophage and experienced diarrhea. It helped but had side effects.,5,2025-06-20 14:00:00,Metformin
171,Ibuprofen,I took Ibuprofen and experienced nausea. It helped but had side effects.,3,2024-04-15 17:00:00,Ibuprofen
172,Metformin,I took Metformin and experienced diarrhea and anxiety and redness. It helped but had side effects.,2,2025-08-08 06:00:00,Metformin
173,Ibuprofen,I took Ibuprofen and experienced itching. It helped but had side effects.,1,2024-02-01 17:00:00,Ibuprofen
174,Glucophage,I took Glucophage and experienced bloating. It helped but had side effects.,5,2025-05-11 20:00:00,Metformin
175,Glucophage,I took Glucophage and experienced bloating. It helped but had side effects.,5,2025-03-08 23:00:00,Metformin
176,Glucophage,I took Glucophage and experienced insomnia and brain fog. It helped but had side effects.,4,2024-09-02 03:00:00,Metformin
177,Advil,I took Advil and experienced blood pressure. It helped but had side effects.,3,2025-08-04 22:00:00,Ibuprofen
178,Metformin,I took Metformin and experienced redness and anxiety. It helped but had side effects.,4,2024-02-19 23:00:00,Metformin
179,Glucophage,I took Glucophage and experienced constipation and vomiting. It helped but had side effects.,3,2024-12-04 16:00:00,Metformin
180,Tylenol,I took Tylenol and experienced vomiting. It helped but had side effects.,2,2024-06-10 00:00:00,Acetaminophen
181,Ibuprofen,I took Ibuprofen and experienced headache and constipation and rash. It helped but had side effects.,4,2024-09-21 06:00:00,Ibuprofen
182,Metformin,I took Metformin and experienced insomnia. It helped but had side effects.,4,2024-11-01 16:00:00,Metformin
183,Metformin,I took Metformin and experienced fatigue. It helped but had side effects.,3,2024-11-06 00:00:00,Metformin
184,Advil,I took Advil and experienced bloating. It helped but had side effects.,2,2025-08-10 03:00:00,Ibuprofen
185,Advil,I took Advil and experienced palpitations. It helped but had side effects.,3,2024-05-23 15:00:00,Ibuprofen
186,Glucophage,I took Glucophage and experienced panic and brain fog. It helped but had side effects.,5,2025-07-31 06:00:00,Metformin
187,Ibuprofen,I took Ibuprofen and experienced tremor and panic. It helped but had side effects.,1,2024-08-28 07:00:00,Ibuprofen
188,Advil,I took Advil and experienced bloating and redness and insomnia. It helped but had side effects.,3,2024-09-17 04:00:00,Ibuprofen
189,Tylenol,I took Tylenol and experienced fatigue. It helped but had side effects.,3,2024-10-17 11:00:00,Acetaminophen
190,Glucophage,I took Glucophage and experienced fatigue and nausea. It helped but had side effects.,4,2024-06-04 11:00:00,Metformin
191,Glucophage,I took Glucophage and experienced stomach cramps. It helped but had side effects.,3,2024-10-16 11:00:00,Metformin
192,Ibuprofen,I took Ibuprofen and experienced bloating and headache. It helped but had side effects.,3,2024-04-04 11:00:00,Ibuprofen
193,Acetaminophen,I took Acetaminophen and experienced blood pressure. It helped but had side effects.,1,2024-10-21 19:00:00,Acetaminophen
194,Tylenol,I took Tylenol and experienced itching. It helped but had side effects.,2,2024-04-10 02:00:00,Acetaminophen
195,Advil,I took Advil and experienced redness. It helped but had side effects.,1,2025-08-12 15:00:00,Ibuprofen
196,Ibuprofen,I took Ibuprofen and experienced blood pressure and fatigue. It helped but had side effects.,4,2025-07-30 04:00:00,Ibuprofen
197,Advil,I took Advil and experienced dizzy. It helped but had side effects.,2,2024-03-10 14:00:00,Ibuprofen
198,Metformin,I took Metformin and experienced stomach cramps and dizzy and chest pain. It helped but had side effects.,4,2025-01-28 03:00:00,Metformin
199,Acetaminophen,I took Acetaminophen and experienced tremor and anxiety. It helped but had side effects.,5,2025-05-10 12:00:00,Acetaminophen
200,Ibuprofen,I took Ibuprofen and experienced diarrhea and hives. It helped but had side effects.,2,2024-02-04 06:00:00,Ibuprofen
201,Metformin,I took Metformin and experienced constipation. It helped but had side effects.,5,2024-12-12 03:00:00,Metformin
202,Ibuprofen,I took Ibuprofen and experienced anxiety. It helped but had side effects.,3,2025-02-26 19:00:00,Ibuprofen
203,Advil,I took Advil and experienced diarrhea and rash. It helped but had side effects.,5,2024-02-24 11:00:00,Ibuprofen
204,Tylenol,I took Tylenol and experienced panic and fatigue and bloating. It helped but had side effects.,1,2024-04-01 00:00:00,Acetaminophen
205,Ibuprofen,I took Ibuprofen and experienced tremor and brain fog. It helped but had side effects.,3,2024-06-08 05:00:00,Ibuprofen
206,Acetaminophen,I took Acetaminophen and experienced vomiting and headache. It helped but had side effects.,1,2025-05-08 21:00:00,Acetaminophen
207,Acetaminophen,I took Acetaminophen and experienced brain fog and dizzy and anxiety. It helped but had side effects.,2,2024-12-27 16:00:00,Acetaminophen
208,Metformin,I took Metformin and experienced tremor and nausea. It helped but had side effects.,1,2024-06-09 02:00:00,Metformin
209,Acetaminophen,I took Acetaminophen and experienced stomach cramps and bloating and headache. It helped but had side effects.,1,2025-01-18 12:00:00,Acetaminophen
210,Tylenol,I took Tylenol and experienced constipation and anxiety. It helped but had side effects.,3,2024-06-18 20:00:00,Acetaminophen
211,Glucophage,I took Glucophage and experienced insomnia and headache. It helped but had side effects.,1,2024-03-28 07:00:00,Metformin
212,Ibuprofen,I took Ibuprofen and experienced brain fog. It helped but had side effects.,4,2025-04-17 07:00:00,Ibuprofen
213,Glucophage,I took Glucophage and experienced hives. It helped but had side effects.,3,2024-04-30 08:00:00,Metformin
214,Tylenol,I took Tylenol and experienced fatigue. It helped but had side effects.,3,2024-05-09 22:00:00,Acetaminophen
215,Advil,I took Advil and experienced hives and headache and insomnia. It helped but had side effects.,3,2024-03-24 00:00:00,Ibuprofen
216,Ibuprofen,I took Ibuprofen and experienced itching. It helped but had side effects.,5,2025-05-14 13:00:00,Ibuprofen
217,Advil,I took Advil and experienced anxiety. It helped but had side effects.,5,2025-07-08 01:00:00,Ibuprofen
218,Acetaminophen,I took Acetaminophen and experienced constipation. It helped but had side effects.,4,2024-08-31 23:00:00,Acetaminophen
219,Glucophage,I took Glucophage and experienced stomach cramps and chest pain and insomnia. It helped but had side effects.,1,2024-01-02 18:00:00,Metformin
220,Metformin,I took Metformin and experienced bloating. It helped but had side effects.,3,2025-02-22 15:00:00,Metformin
221,Advil,I took Advil and experienced vomiting. It helped but had side effects.,3,2024-01-08 02:00:00,Ibuprofen
222,Ibuprofen,I took Ibuprofen and experienced irritable. It helped but had side effects.,3,2024-09-04 18:00:00,Ibuprofen
223,Advil,I took Advil and experienced constipation. It helped but had side effects.,1,2024-05-09 05:00:00,Ibuprofen
224,Acetaminophen,I took Acetaminophen and experienced depression. It helped but had side effects.,1,2025-01-28 20:00:00,Acetaminophen
225,Ibuprofen,I took Ibuprofen and experienced bloating. It helped but had side effects.,3,2025-02-20 12:00:00,Ibuprofen
226,Metformin,I took Metformin and experienced dizzy. It helped but had side effects.,2,2025-03-25 19:00:00,Metformin
227,Tylenol,I took Tylenol and experienced headache and anxiety. It helped but had side effects.,4,2024-09-27 08:00:00,Acetaminophen
228,Ibuprofen,I took Ibuprofen and experienced irritable and dizzy. It helped but had side effects.,3,2024-02-07 13:00:00,Ibuprofen
229,Glucophage,I took Glucophage and experienced palpitations. It helped but had side effects.,3,2024-10-06 14:00:00,Metformin
230,Glucophage,I took Glucophage and experienced panic and nausea. It helped but had side effects.,2,2024-04-17 09:00:00,Metformin
231,Glucophage,I took Glucophage and experienced headache. It helped but had side effects.,3,2024-05-01 23:00:00,Metformin
232,Acetaminophen,I took Acetaminophen and experienced bloating. It helped but had side effects.,2,2024-05-08 14:00:00,Acetaminophen
233,Ibuprofen,I took Ibuprofen and experienced diarrhea and stomach cramps and redness. It helped but had side effects.,1,2024-02-20 06:00:00,Ibuprofen
234,Acetaminophen,I took Acetaminophen and experienced insomnia and constipation and chest pain. It helped but had side effects.,5,2024-03-14 15:00:00,Acetaminophen
235,Ibuprofen,I took Ibuprofen and experienced palpitations and tremor. It helped but had side effects.,5,2024-08-18 20:00:00,Ibuprofen
236,Advil,I took Advil and experienced vomiting and bloating. It helped but had side effects.,2,2024-05-09 11:00:00,Ibuprofen
237,Metformin,I took Metformin and experienced insomnia. It helped but had side effects.,3,2024-08-30 13:00:00,Metformin
238,Glucophage,I took Glucophage and experienced panic. It helped but had side effects.,5,2024-03-27 21:00:00,Metformin
